project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,pci6,status
Ruta de la Plata Gas Pipeline,Villamañán-Ponferrada,gas_pipeline,,Enagás [100.00%],Spain,operating,2,,,,line,nan,nan,"42.326164188062236,-5.5848816867483055:42.44725975792476,-6.099407225188429:42.44725975792476,-6.261455553884459:42.552559488009415,-6.593791956803438",https://www.gem.wiki/Ruta_de_la_Plata_Gas_Pipeline,,,operating
Ruta de la Plata Gas Pipeline,La Robla-Guardo,gas_pipeline,,Enagás [100.00%],Spain,operating,2,,,,line,nan,nan,"42.80434033780169,-5.6258377762579075:42.85951271269438,-5.308164404471343:42.758765171013756,-5.052732293136922:42.784975317660965,-4.8522318186486135",https://www.gem.wiki/Ruta_de_la_Plata_Gas_Pipeline,,,operating
STEGAL Gas Pipeline,,gas_pipeline,,BASF [unknown %]; Gazprom [unknown %],Germany,operating,1992,8,,bcm/y,line,nan,nan,"50.6454,13.3598:50.635,13.39;50.8142,12.233:50.7892,12.3813:50.7696,12.4108:50.7401,12.8331:50.6832,12.945:50.6537,13.2239:50.6454,13.3599;50.8568,11.5529:50.841,11.8055:50.8178,11.9083:50.8255,12.0034:50.8372,12.0694:50.8469,12.1393:50.8142,12.2329;50.9026,11.0068:50.9138,11.125:50.9006,11.2294:50.855,11.3705:50.8568,11.5529;51.006,10.49:51.0073,10.5282:51.0001,10.5598:50.9081,10.7351:50.865,10.9133:50.9026,11.0068;50.7853,9.789:50.8811,10.0945:51.0118,10.3394:51.006,10.49",https://www.gem.wiki/STEGAL_Gas_Pipeline,,,operating
Sacarya-Baklan Gas Pipeline,,gas_pipeline,,BOTAŞ [100.00%],Türkiye,operating,,,,,line,nan,nan,"38.055496,29.688514:38.18375,29.648833:38.395537,29.587611:38.633279,29.483306:38.787214,29.32685:38.937289,29.390339:39.111684,29.596681:39.317231,29.816627:39.478435,29.973084:39.611323,29.993492:39.768941,29.993492:39.850227,30.050935:39.922142,30.143146:39.94996,30.162798:39.978401,30.1143:40.057648,30.043376:40.249443,30.090238:40.360113,30.188496:40.447598,30.303382:40.549903,30.388035:40.650905,30.450013:40.767785,30.45606:40.830902,30.491206",https://www.gem.wiki/Sacarya-Baklan_Gas_Pipeline,,,operating
Saint Stefano Di Magra-Cortemaggiore Gas Pipline,,gas_pipeline,,Snam [100.00%],Italy,operating,1967,,,,line,nan,nan,"44.156409,9.899492:44.196791,9.903331:44.222473,9.916127:44.245395,9.937881:44.272889,9.946839:44.312275,9.934042:44.349804,9.890534:44.398282,9.862382:44.425704,9.847026:44.448546,9.79968:44.463161,9.767689:44.475945,9.710105:44.514282,9.702427:44.536178,9.675554:44.569005,9.680673:44.593614,9.706266:44.625499,9.706266:44.660096,9.717782:44.695583,9.740816:44.749227,9.704986:44.775576,9.702427:44.827331,9.749774:44.872691,9.785604:44.903516,9.823993:44.943382,9.87006:44.985031,9.917407",https://www.gem.wiki/Saint_Stefano_Di_Magra-Cortemaggiore_Gas_Pipline,,,operating
San Marco–Recanati Pipeline,,gas_pipeline,,OTPP [69.14%]; other [30.86%],Italy,operating,2,247.2,,MMcf/d,line,nan,nan,"43.205382,13.671386:43.30275331462973,13.582783395341629:43.402668,13.548616",https://www.gem.wiki/San_Marco%E2%80%93Recanati_Pipeline,,,operating
San Salvo–Biccari Gas Pipeline,,gas_pipeline,,Snam [100.00%],Italy,operating,1981,,,,line,nan,nan,"42.195275,14.610148:42.144855,14.646973:42.087303,14.636853:42.017169,14.63348:42.017169,14.687453:41.964518,14.761665:41.874158,14.856117:41.823902,14.940449:41.783669,15.004542:41.72579,15.068634:41.662819,15.132726:41.566985,15.200192:41.481118,15.244045:41.445727,15.254165:41.403627,15.216828",https://gem.wiki/Cupello–Biccari_Gas_Pipeline,,,operating
San Salvo–Vastogirardi Gas Pipeline,,gas_pipeline,,Snam [100.00%],Italy,operating,,,,,line,nan,nan,"42.017169,14.63348:41.989654,14.600793:41.967587,14.581902:41.944508,14.572457:41.902342,14.515786:41.89029,14.473957:41.89029,14.442923:41.874216,14.363313:41.855124,14.326882:41.834015,14.302594:41.810888,14.297197:41.759252,14.308441",https://gem.wiki/Cupello–Vastogirardi_Gas_Pipeline,,,operating
Sansepolcro-Terranuova Gas Pipeline,,gas_pipeline,,Snam [100.00%],Italy,operating,197,,,,line,nan,nan,"43.57809,11.587661:43.570673,11.643965:43.542853,11.736099:43.524299,11.784726:43.522443,11.864063:43.542853,11.922927:43.540998,11.981791:43.544708,12.050891:43.566964,12.089281:43.583652,12.102077",https://www.gem.wiki/Sansepolcro-Terranuova_Gas_Pipeline,,,operating
Sarikali-Karacabey Gas Pipeline,,gas_pipeline,,BOTAŞ [100.00%],Türkiye,operating,,,,,line,nan,nan,"40.215294,28.343494:40.286929,28.218425:40.308451,27.996715:40.308451,27.756865:40.308451,27.468642:40.399073,27.261041:40.537075,27.061501:40.635038,26.936538:40.711471,26.861962:40.848831,26.68661:40.917404,26.557615:40.960036,26.456838:40.9646,26.3856",https://www.gem.wiki/Sarikali-Karacabey_Gas_Pipeline,,,operating
Scheemda-Emden Gas Pipeline,,gas_pipeline,,Gasunie [100.00%],"Netherlands, Germany",operating,,,,,line,nan,nan,"53.172622,6.894696:53.194871,6.901989:53.214727,6.931161:53.253617,6.940443:53.255997,6.953704:53.291679,6.960334:53.315451,6.962986:53.347126,6.977572:53.360581,7.009396:53.382733,7.039894:53.379569,7.059785",https://www.gem.wiki/Scheemda-Emden_Gas_Pipeline,,,operating
Scheemda–Bunde Gas Pipeline,,gas_pipeline,,Gasunie [100.00%],"Netherlands, Germany",operating,,,,,line,nan,nan,"53.1763506,6.9723944:53.2019,7.205",https://www.gem.wiki/Scheemda%E2%80%93Bunde_Gas_Pipeline,,,operating
Scheemda–Eemshaven Gas Pipeline,,gas_pipeline,,Gasunie [100.00%],Netherlands,operating,,,,,line,nan,nan,"53.172622,6.894696:53.178185,6.853589:53.217506,6.852263:53.234176,6.842981:53.256393,6.837677:53.283356,6.837677:53.292868,6.836351:53.307925,6.819113:53.313471,6.795245:53.327728,6.775354:53.365725,6.772702:53.388664,6.774028:53.419495,6.783311:53.427397,6.792593:53.439246,6.815135:53.451882,6.824417:53.461357,6.825743:53.469251,6.811157:53.47004,6.793919",https://gem.wiki/Scheemda–Spijk_Gas_Pipeline,,,operating
Scheemda–Schuilenburg Gas Pipeline,,gas_pipeline,,Gasunie [100.00%],Netherlands,operating,,,,,line,nan,nan,"53.172622,6.894696:53.194871,6.901989:53.214727,6.931161:53.229017,6.996136:53.222666,7.038568:53.230604,7.096913:53.229017,7.139346:53.225842,7.18443:53.227429,7.213602:53.229017,7.240123",https://gem.wiki/Scheemda–Schuilenburg_Gas_Pipeline,,,operating
Scheinfeld-Lindau Gas Pipeline,,gas_pipeline,,Energie Baden-Württemberg AG [100.00%],Germany,operating,,,,,line,nan,nan,"49.6499,10.5164:49.615089,10.384517:49.5995,10.282744:49.523886,10.195775:49.472209,10.177271:49.37592,10.08475:49.269784,9.957072:49.156159,9.873803:48.894072,9.821992:48.757632,9.799787:48.693307,9.817851:48.573137,9.62682:48.321478,9.511123:48.148926,9.385295:48.000562,9.370491:47.72247,9.400098:47.572878,9.533328:47.446406,9.621337",https://www.gem.wiki/Scheinfeld-Lindau_Gas_Pipeline,,,operating
Schwerin-Magdeburg Gas Pipeline,,gas_pipeline,,VNG [100.00%],Germany,operating,1993,,,,line,nan,nan,"53.706973,11.217131:53.622783,11.195471:53.55938,11.257938:53.504945,11.280379:53.443064,11.252654:53.323172,11.474453:53.204328,11.707315:53.136464,11.848739:53.082375,11.85567:53.003199,11.793289:52.947926,11.716275:52.831849,11.647733:52.756408,11.62694:52.487112,11.522971:52.398388,11.502178:52.347608,11.405141",https://www.gem.wiki/Schwerin-Magdeburg_Gas_Pipeline,,,operating
Sciacca-Canicatti Gas Pipeline,,gas_pipeline,,Snam [100.00%],Italy,operating,1992,,,,line,nan,nan,"37.601662,12.981012:37.574283,13.044354:37.539285,13.121133:37.479903,13.215186:37.426572,13.362985:37.389979,13.464717:37.386929,13.503106:37.373202,13.547254:37.389979,13.604838:37.3671,13.645146:37.365574,13.77567:37.392267,13.863965",https://www.gem.wiki/Sciacca-Canicatti_Gas_Pipeline,,,operating
Scottish Area Gas Evacuation Pipeline,,gas_pipeline,,Brae Group [50.00%]; Ancala Partners [30.30%]; Harbour Energy [19.70%],United Kingdom,operating,,,,,line,nan,nan,"57.589376,-1.827335:57.589835,-1.809679:57.59019,-1.786639:57.59024,-1.779642:57.589955,-1.774314:57.590063,-1.77066:57.589939,-1.76344:57.59022,-1.756394:57.59102,-1.691557:57.592221,-1.672321:57.592711,-1.624052:57.59299,-1.611772:57.593288,-1.573238:57.593513,-1.566088:57.593971,-1.558985:57.594961,-1.552112:57.597334,-1.544371:57.600037,-1.537307:57.609082,-1.516364:57.612399,-1.50818:57.615392,-1.50146:57.623052,-1.483094:57.627994,-1.471962:57.63143,-1.463487:57.63792,-1.448333:57.640489,-1.443193:57.642341,-1.438919:57.645655,-1.430104:57.653217,-1.411969:57.669901,-1.373156:57.680034,-1.348854:57.684264,-1.33918:57.709309,-1.279867:57.716306,-1.263254:57.722074,-1.248932:57.744444,-1.195856:57.749486,-1.183426:57.759107,-1.16093:57.768243,-1.13872:57.784718,-1.099853:57.789923,-1.086908:57.80118,-1.060334:57.813128,-1.031097:57.818619,-1.018498:57.8237,-1.005649:57.827316,-0.997395:57.832981,-0.983497:57.839457,-0.968213:57.843836,-0.957213:57.847422,-0.948983:57.85804,-0.92344:57.862589,-0.912113:57.867909,-0.899697:57.87894,-0.873104:57.882826,-0.863242:57.897237,-0.828779:57.940138,-0.724568:57.947601,-0.706334:57.948626,-0.703413:57.950364,-0.697173:57.951666,-0.690701:57.958114,-0.653229:57.983647,-0.501732:57.985405,-0.489725:57.989136,-0.468978:57.999807,-0.404569:58.001586,-0.396205:58.002988,-0.391399:58.006541,-0.381094:58.008649,-0.373081:58.01628,-0.348065:58.022377,-0.32726:58.026951,-0.313166:58.03219,-0.295795:58.034245,-0.289724:58.037124,-0.282337:58.044268,-0.265125:58.048865,-0.255768:58.050105,-0.252864:58.052346,-0.246763:58.055949,-0.235976:58.071976,-0.19549:58.076171,-0.183632:58.078035,-0.179334:58.080055,-0.175204:58.082415,-0.169373:58.084671,-0.163344:58.085651,-0.160141:58.088761,-0.147286:58.090358,-0.138785:58.09497,-0.118928:58.096591,-0.112704:58.098007,-0.10622:58.098574,-0.102678:58.100391,-0.08349:58.101358,-0.076652:58.10211,-0.069508:58.10393,-0.049856:58.104834,-0.037273:58.108154,-0.00323:58.109105,0.015054:58.111394,0.038795:58.112073,0.044081:58.113447,0.05063:58.114798,0.055392:58.117427,0.063027:58.120276,0.072403:58.123855,0.083061:58.129683,0.097453:58.135046,0.112761:58.140559,0.129264:58.143677,0.138037:58.146505,0.145176:58.153699,0.1667:58.159176,0.181518:58.164664,0.198907:58.167658,0.210463:58.173598,0.235245:58.181004,0.268262:58.185699,0.288248:58.187512,0.294487:58.18991,0.30421:58.196555,0.332619:58.204044,0.362673:58.212823,0.399452:58.223531,0.436627:58.229935,0.457627:58.235917,0.47837:58.23722,0.48335:58.246552,0.514841:58.251015,0.53512:58.253263,0.54313:58.256031,0.551117:58.258745,0.556303:58.261105,0.559441:58.262729,0.561205:58.264437,0.56269:58.26706,0.564493:58.27065,0.566666:58.276122,0.569488:58.281461,0.573378:58.287641,0.577115:58.292062,0.579471:58.297232,0.583015:58.325438,0.600338:58.327299,0.60137:58.3293,0.602192:58.332124,0.602776:58.335873,0.60295:58.347204,0.602498:58.373743,0.602442:58.397188,0.602612:58.39999,0.603058:58.401819,0.603822:58.40452,0.605544:58.407135,0.607953:58.408742,0.609802:58.410281,0.611902:58.437575,0.651718:58.442679,0.658642:58.44784,0.66671:58.454751,0.676206:58.458445,0.681756:58.466376,0.694571:58.489821,0.729104:58.494613,0.735408:58.496307,0.737209:58.500675,0.740891:58.50246,0.742244:58.506056,0.744419:58.507787,0.745799:58.511955,0.749885:58.515477,0.752936:58.518869,0.756337:58.5207,0.757742:58.523434,0.759472:58.528642,0.763442:58.54271,0.774774:58.548833,0.780225:58.552371,0.782721:58.575207,0.800966:58.578488,0.80424:58.584732,0.812151:58.589598,0.818825:58.596745,0.827599:58.607839,0.841934:58.611611,0.8472:58.614854,0.850998:58.656732,0.905241:58.672649,0.925631:58.691386,0.950189:58.700125,0.961349:58.708759,0.972846:58.732471,1.003631:58.739617,1.012684:58.766559,1.048026:58.792942,1.082189:58.799157,1.090578:58.807929,1.101879:58.811028,1.106116:58.813426,1.109204:58.816658,1.112748:58.819083,1.115786:58.821484,1.119049:58.825314,1.124848:58.844537,1.149749:58.854729,1.16332:58.857973,1.167267:58.863458,1.174585:58.866117,1.177185:58.867842,1.178459:58.870662,1.179688:58.877338,1.180482:58.890835,1.181515:58.892663,1.181842:58.903266,1.182733:58.906277,1.182832:58.91279,1.183542:58.948494,1.186619:58.949463,1.186576:58.955238,1.187114:58.960955,1.187442:58.96379,1.187828:58.998756,1.19087:59.00951,1.191643:59.019072,1.192685:59.020932,1.193322:59.022714,1.19426:59.032514,1.200714:59.035243,1.201901:59.039039,1.202913:59.043768,1.203911:59.051217,1.206052:59.052162,1.206136:59.074906,1.212129:59.075824,1.212222:59.076827,1.212659:59.0787,1.213028:59.085381,1.214858:59.092842,1.216563:59.106248,1.220156:59.112935,1.222422:59.122378,1.225904:59.135498,1.230968:59.152334,1.237167:59.165454,1.242287:59.168204,1.243751:59.169093,1.244405:59.170787,1.246094:59.226435,1.308863:59.236319,1.320254:59.248692,1.333919:59.251922,1.337839:59.253657,1.339387:59.254509,1.339953:59.257264,1.341193:59.260116,1.341553:59.262964,1.341674:59.264966,1.34157:59.266892,1.341855:59.27454,1.342266:59.313241,1.34362:59.370394,1.345917:59.37133,1.346076:59.379031,1.346419:59.38762,1.346613:59.411586,1.347577:59.413537,1.347774:59.416325,1.348749:59.474408,1.386118:59.478956,1.3893:59.48695,1.394485:59.489473,1.396631:59.491835,1.399546:59.493919,1.403216:59.49511,1.405903:59.51734,1.464577:59.520216,1.471667:59.522334,1.475398:59.523994,1.477577:59.525658,1.47936:59.532543,1.48597:59.534172,1.487879:59.536403,1.491288:59.538982,1.49683:59.540339,1.501691:59.541359,1.506832:59.543569,1.525842:59.543697,1.527638:59.543208,1.527839:59.543224,1.528072:59.543646,1.527975:59.543729,1.528088:59.544592,1.535012:59.544975,1.535318",https://www.gem.wiki/Scottish_Area_Gas_Evacuation_Pipeline,,,operating
Sealine Tirrenica Gas Pipeline,,gas_pipeline,,Snam [100.00%],Italy,proposed,2,,,,line,nan,nan,"40.282,15.6673:40.269,15.5894:40.257,15.5267:40.249,15.5169:40.181,15.5143:40.111,15.5078:40.045,15.5119:39.971,15.5242:39.9,15.5269:39.866,15.5282:39.839,15.5459:39.793,15.569:39.772,15.5826:39.708,15.5989:39.633,15.6125:39.417,15.638:39.343,15.6489:39.289,15.6544:39.213,15.6544:39.142,15.6517:39.063,15.6462:38.993,15.6325:38.918,15.6051:38.812,15.5449:38.789,15.5217:38.695,15.4137:38.642,15.3621:38.629,15.3508:38.574,15.3088:38.505,15.2733:38.437,15.2427:38.374,15.2249:38.316,15.2233:38.26,15.2411",https://www.gem.wiki/Sealine_Tirrenica_Gas_Pipeline,,,proposed_plus
Sean Gas Field–Bacton Pipeline,,gas_pipeline,,Shell [100.00%],United Kingdom,operating,1986,,,,line,nan,nan,"53.189202,2.861423:53.18948,2.860844:53.187201,2.858416:53.18741,2.857845:53.187341,2.857772:53.187132,2.858347:53.181623,2.851703:53.179578,2.848785:53.177815,2.845396:53.175225,2.839258:53.173605,2.833952:53.172692,2.829853:53.171998,2.825401:53.170857,2.815109:53.170099,2.810782:53.169081,2.806658:53.167806,2.802708:53.100544,2.624341:53.077958,2.564921:53.047696,2.483746:53.045249,2.477494:53.042036,2.468521:53.012542,2.390132:53.009801,2.382434:52.997797,2.35096:52.99603,2.345928:52.984968,2.316839:52.980796,2.305358:52.965942,2.266311:52.943757,2.206977:52.941256,2.200627:52.903052,2.082667:52.901056,2.07773:52.890061,2.052367:52.835857,1.9284:52.831403,1.917237:52.829762,1.911958:52.827984,1.905144:52.826192,1.89675:52.825028,1.889581:52.824173,1.882301:52.823719,1.876416:52.823469,1.870495:52.823533,1.860115:52.823945,1.852725:52.82458,1.845384:52.832794,1.755909:52.847257,1.615417:52.848484,1.605222:52.84946,1.599511:52.866312,1.513312:52.867005,1.509013:52.867303,1.506082:52.867397,1.498671:52.866805,1.492812:52.86605,1.488538:52.865402,1.485767:52.864162,1.48184:52.860221,1.470513:52.859309,1.468488",https://www.gem.wiki/Sean_Field%E2%80%93Bacton_Pipeline,,,operating
Serbia-Kosovo-Montenegro Gas Interconnector,Serbia-Kosovo,gas_pipeline,,Srbijagas [100.00%],"Serbia, Kosovo",proposed,,,,,line,nan,nan,"43.400028,21.871908:43.355242,21.774011:43.331789,21.437702:43.261376,21.327135:43.167364,21.313314:43.093397,21.281065:42.992388,21.19814:42.793252,21.193533",https://www.gem.wiki/Serbia-Kosovo-Montenegro_Gas_Interconnector,,,proposed_plus
Serbia-Kosovo-Montenegro Gas Interconnector,Kosovo-Montenegro,gas_pipeline,,Srbijagas [100.00%],"Kosovo, Montenegro",proposed,,,,,line,nan,nan,"42.992388,21.19814:42.941821,20.824976:42.908087,20.484061:42.860828,20.161573:42.793252,19.885156",https://www.gem.wiki/Serbia-Kosovo-Montenegro_Gas_Interconnector,,,proposed_plus
Serbia-North Macedonia Interconnection Pipeline,,gas_pipeline,,MER JSC Skopje [unknown %]; Srbijagas [unknown %],"Serbia, North Macedonia",proposed,2,42.35,,GWh/d,line,nan,nan,"42.550859,21.918526:42.288946,22.151095",https://www.gem.wiki/Serbia-North_Macedonia_Interconnector_Pipeline,,,proposed_plus
Serbian-Hungarian Gas Pipeline,,gas_pipeline,,MOL Group [100.00%],"Serbia, Hungary",operating,2,6,,bcm/y,line,nan,nan,"46.175423215233295,19.985781985557992:46.275181173704034,20.06663449578758:46.82851195220131,19.758726059300898",https://www.gem.wiki/Serbian-Hungarian_Gas_Pipeline,,,operating
Serbia–Bosnia Interconnector Gas Pipeline,Indjija-Janja Gas Pipeline,gas_pipeline,,Gas RES [unknown %]; Srbijagas [unknown %],"Serbia, Bosnia and Herzegovina",proposed,2,1.2,,bcm/y,line,nan,nan,"45.0444232,20.2051144:45.0151028,20.1432158:45.0009856,20.1138954:44.9977278,20.0737156:44.9814387,20.0389655:44.9651495,19.9911841:44.9618917,19.8977932:44.9086806,19.8087461:44.8934775,19.7468475:44.8728446,19.7175271:44.8337507,19.7055817:44.8163757,19.6849488:44.8170352,19.6383553:44.7626479,19.5493578:44.7593517,19.4496477:44.7544073,19.4232781:44.7305099,19.4109174:44.7057884,19.3878439:44.6931804,19.3579474:44.6943835,19.2881668:44.73168,19.259292:44.7653672,19.2424484:44.7689766,19.2340267:44.758418,19.1594554",https://www.gem.wiki/Serbia%E2%80%93Bosnia_Interconnector_Gas_Pipeline,,,proposed_plus
Serbia–Bosnia Interconnector Gas Pipeline,Bijeljina–Banja Luka–Novi Grad Gas Pipeline,gas_pipeline,,Gas RES [100.00%],Bosnia and Herzegovina,proposed,2,1.2,,bcm/y,line,nan,nan,"44.758418,19.1594554:44.771933264197884,17.19095958419603:45.045788419643465,16.376299209739507",https://www.gem.wiki/Serbia%E2%80%93Bosnia_Interconnector_Gas_Pipeline,,,proposed_plus
Sergnano-Mortara Gas Pipeline,,gas_pipeline,,Snam [100.00%],Italy,operating,197,,,,line,nan,nan,"45.220883,8.72478:45.223024,8.756131:45.219869,8.8681:45.248705,8.921845:45.255912,8.996064:45.257714,9.129147:45.272124,9.241755:45.290132,9.29806:45.286531,9.387635:45.32793,9.43882:45.371546,9.426984:45.399856,9.533514:45.421416,9.635885:45.416027,9.753612:45.40884,9.858543:45.405247,9.937881",https://www.gem.wiki/Sergnano-Mortara_Gas_Pipeline,,,operating
Sergnano–Vigasio Gas Pipeline,,gas_pipeline,,Snam [100.00%],Italy,operating,,,,,line,nan,nan,"45.322314,10.954312:45.327691,10.894929:45.332245,10.752409:45.348941,10.698424:45.355011,10.521353:45.367149,10.463049:45.367149,10.331326:45.400516,10.143459:45.40658,10.078677:45.412644,10.007417:45.405247,9.937881",https://gem.wiki/Sergnano–Vigasio_Gas_Pipeline,,,operating
Setubal-Leiria Pipeline,,gas_pipeline,,other [63.00%]; State Grid Corporation of China [25.00%]; Pontegadea Inversiones S.L [12.00%],Portugal,operating,,,,,line,nan,nan,"37.941287,-8.844799:38.176488,-8.566179:38.372342,-8.50935:38.466038,-8.676767:38.499787,-8.840595:38.56704,-8.898652:38.675238,-8.861592:38.742786,-8.927365:38.954135,-8.826257:39.012139,-8.95396:39.137297,-8.998487:39.362327,-8.9632:39.479486,-8.937247:39.611535,-8.841974:39.749353,-8.808544",https://www.gem.wiki/Setubal-Leiria_Pipeline,,,operating
Shannon Gas Pipeline,,gas_pipeline,,Ervia [100.00%],Ireland,proposed,2,87.9,,MMcf/d,line,nan,nan,"52.579251,-9.44322:52.559848,-9.362539:52.566425,-9.33885:52.569558,-9.309324:52.565909,-9.300398:52.563825,-9.258169:52.610836,-9.105198",https://www.gem.wiki/Shannon_Gas_Pipeline,,,proposed_plus
